time_s,north_m,east_m,latitude_deg,longitude_deg,depth_setpoint_m,depth_m,heading_setpoint_deg,heading_deg,speed_setpoint_mps,surge_speed_mps,pitch_setpoint_deg,pitch_deg,roll_deg,distance_to_target_m,rpm,elevator_deg,rudder_deg
321.1,338.32302014001834,338.3436687093446,12.974642612017917,80.224022478856,10.0,9.98070693279596,45.2759843282006,45.27972946377807,1.5,1.5000003203346628,-0.005019258285113303,-0.006844429322241505,5.458648446364175e-10,88.151404919112,958.1233361149681,-0.0008006749000370912,-0.0003986710763498095
321.15000000000003,338.3757934334932,338.3969601891618,12.974643086619547,80.22402297066816,10.0,9.980715587458436,45.275980970048565,45.27972167592164,1.5,1.5000003196766007,-0.0050190678395399205,-0.0068426220091466665,5.452713671812648e-10,88.0764049037552,958.1233357641742,-0.0008003593178598379,-0.0003983429338191547
321.20000000000005,338.4285667343362,338.45025166163657,12.974643561221244,80.2240234624802,10.0,9.98072423990001,45.27597761295068,45.27971389451794,1.5,1.5000003190198905,-0.005018874087623148,-0.006840813147937501,5.446786514751789e-10,88.00140488843068,958.1233354141007,-0.0008000437432618569,-0.0003980152509255116
321.25,338.4813400425412,338.5035431267751,12.974644035823006,80.22402395429219,10.0,9.980732890118608,45.27597425690392,45.279706119557964,1.5,1.5000003183645292,-0.00501867703562466,-0.006839002742689836,5.440866959651547e-10,87.92640487313837,958.1233350647465,-0.0007997281764605351,-0.00039768802741367223
321.3,338.5341133581021,338.5568345845836,12.974644510424834,80.22402444610412,10.0,9.980741538112163,45.27597090190527,45.27969835103277,1.5,1.5000003177105141,-0.0050184766897930205,-0.006837190797473352,5.434955010394436e-10,87.85140485787817,958.1233347161102,-0.000799412617669606,-0.0003973612629870895
321.35,338.5868866810127,338.6101260350682,12.97464498502673,80.22402493791594,10.0,9.980750183878609,45.27596754795176,45.27969058893341,1.5,1.5000003170578426,-0.00501827305636774,-0.006835377316351597,5.429050663097941e-10,87.77640484265004,958.12333436819,-0.0007990970671024329,-0.0003970349573466921
321.40000000000003,338.63966001126687,338.66341747823515,12.974645459628691,80.22402542972776,10.0,9.980758827415888,45.27596419504034,45.27968283325094,1.5,1.5000003164065119,-0.005018066141587407,-0.006833562303382002,5.423153909997037e-10,87.70140482745393,958.1233340209844,-0.0007987815249783649,-0.00039670911022812554
321.45000000000005,338.6924333488585,338.71670891409053,12.974645934230718,80.22402592153946,10.0,9.980767468721949,45.27596084316801,45.27967508397641,1.5,1.5000003157565192,-0.0050178559516734405,-0.006831745762615885,5.41726475885675e-10,87.62640481228973,958.1233336744922,-0.0007984659915097921,-0.0003963837213509871
321.5,338.7452066937815,338.7700003426405,12.974646408832811,80.22402641335111,10.0,9.980776107794743,45.27595749233176,45.27966734110091,1.5,1.5000003151078616,-0.005017642492842251,-0.00682992769809846,5.41138319802954e-10,87.5514047971574,958.1233333287117,-0.000798150466911892,-0.0003960587904195149
321.55,338.7979800460297,338.82329176389123,12.974646883434971,80.2240269051627,10.0,9.980784744632226,45.275954142528576,45.2796596046155,1.5,1.5000003144605365,-0.005017425771297101,-0.00682810811386884,5.405509223632897e-10,87.47640478205687,958.1233329836417,-0.0007978349513961254,-0.00039573431716031045
321.6,338.85075340559706,338.87658317784883,12.974647358037195,80.22402739697424,10.0,9.980793379232363,45.27595079375545,45.27965187451127,1.5,1.5000003138145412,-0.0050172057932403175,-0.00682628701396005,5.399642831784303e-10,87.4014047669881,958.1233326392806,-0.000797519445179912,-0.00039541030129674006
321.65000000000003,338.90352677247745,338.9298745845194,12.974647832639485,80.22402788878571,10.0,9.980802011593122,45.275947446009354,45.2796441507793,1.5,1.500000313169873,-0.0050169825648570185,-0.006824464402399036,5.393784034131302e-10,87.32640475195097,958.1233322956268,-0.000797203948473664,-0.0003950867425491579
321.70000000000005,338.95630014666483,338.9831659839091,12.974648307241843,80.22402838059708,10.0,9.980810641712477,45.27594409928727,45.27963643341068,1.5,1.5000003125265289,-0.005016756092327286,-0.006822640283206667,5.387932811261325e-10,87.25140473694549,958.1233319526791,-0.0007968884614905345,-0.00039476364063503164
321.75,339.00907352815307,339.03645737602403,12.974648781844264,80.22402887240838,10.0,9.980819269588405,45.27594075358617,45.27962872239652,1.5,1.5000003118845064,-0.005016526381818022,-0.006820814660397739,5.382089163174375e-10,87.17640472197151,958.1233316104359,-0.0007965729844399054,-0.00039444099528146057
